mode: set
notifuse/server/cmd/keygen/main.go:12.13,27.43 8 0
notifuse/server/cmd/keygen/main.go:27.43,31.41 4 0
notifuse/server/cmd/keygen/main.go:31.41,33.18 2 0
notifuse/server/cmd/keygen/main.go:33.18,35.5 1 0
notifuse/server/cmd/keygen/main.go:38.4,41.18 3 0
notifuse/server/cmd/keygen/main.go:41.18,43.5 1 0
notifuse/server/cmd/keygen/main.go:44.4,44.50 1 0
notifuse/server/cmd/keygen/main.go:46.8,50.3 3 0
notifuse/server/cmd/keygen/main.go:53.69,60.31 5 0
notifuse/server/cmd/keygen/main.go:60.31,61.19 1 0
notifuse/server/cmd/keygen/main.go:61.19,64.4 2 0
notifuse/server/cmd/keygen/main.go:64.9,66.4 1 0
notifuse/server/cmd/keygen/main.go:68.2,68.19 1 0
notifuse/server/cmd/keygen/main.go:68.19,70.3 1 0
notifuse/server/cmd/keygen/main.go:73.2,73.29 1 0
notifuse/server/cmd/keygen/main.go:73.29,74.21 1 0
notifuse/server/cmd/keygen/main.go:74.21,76.12 2 0
notifuse/server/cmd/keygen/main.go:79.3,79.21 1 0
notifuse/server/cmd/keygen/main.go:79.21,81.12 2 0
notifuse/server/cmd/keygen/main.go:84.3,84.59 1 0
notifuse/server/cmd/keygen/main.go:84.59,87.4 2 0
notifuse/server/cmd/keygen/main.go:87.9,87.65 1 0
notifuse/server/cmd/keygen/main.go:87.65,90.4 2 0
notifuse/server/cmd/keygen/main.go:90.9,92.4 1 0
notifuse/server/cmd/keygen/main.go:96.2,96.19 1 0
notifuse/server/cmd/keygen/main.go:96.19,98.3 1 0
notifuse/server/cmd/keygen/main.go:99.2,99.18 1 0
notifuse/server/cmd/keygen/main.go:99.18,101.3 1 0
notifuse/server/cmd/keygen/main.go:103.2,103.15 1 0
notifuse/server/config/config.go:54.30,56.2 1 0
notifuse/server/config/config.go:59.57,74.24 11 0
notifuse/server/config/config.go:74.24,79.17 4 0
notifuse/server/config/config.go:79.17,81.4 1 0
notifuse/server/config/config.go:83.3,86.42 3 0
notifuse/server/config/config.go:86.42,89.57 2 0
notifuse/server/config/config.go:89.57,91.5 1 0
notifuse/server/config/config.go:96.2,104.28 5 0
notifuse/server/config/config.go:104.28,106.3 1 0
notifuse/server/config/config.go:107.2,107.27 1 0
notifuse/server/config/config.go:107.27,109.3 1 0
notifuse/server/config/config.go:112.2,113.16 2 0
notifuse/server/config/config.go:113.16,115.3 1 0
notifuse/server/config/config.go:117.2,118.16 2 0
notifuse/server/config/config.go:118.16,120.3 1 0
notifuse/server/config/config.go:122.2,148.20 2 0
notifuse/server/config/config.go:152.39,154.2 1 0
notifuse/server/cmd/api/main.go:24.63,28.2 2 0
notifuse/server/cmd/api/main.go:30.13,33.16 2 0
notifuse/server/cmd/api/main.go:33.16,35.3 1 0
notifuse/server/cmd/api/main.go:38.2,43.16 4 0
notifuse/server/cmd/api/main.go:43.16,45.3 1 0
notifuse/server/cmd/api/main.go:46.2,49.40 2 0
notifuse/server/cmd/api/main.go:49.40,51.3 1 0
notifuse/server/cmd/api/main.go:54.2,54.77 1 0
notifuse/server/cmd/api/main.go:54.77,56.3 1 0
notifuse/server/cmd/api/main.go:59.2,77.16 9 0
notifuse/server/cmd/api/main.go:77.16,79.3 1 0
notifuse/server/cmd/api/main.go:82.2,89.16 4 0
notifuse/server/cmd/api/main.go:89.16,91.3 1 0
notifuse/server/cmd/api/main.go:93.2,112.28 13 0
notifuse/server/cmd/api/main.go:112.28,115.3 2 0
notifuse/server/cmd/api/main.go:115.8,117.3 1 0
notifuse/server/cmd/api/main.go:119.2,119.16 1 0
notifuse/server/cmd/api/main.go:119.16,121.3 1 0
notifuse/server/pkg/logger/logger.go:22.25,27.2 2 0
notifuse/server/pkg/logger/logger.go:29.43,31.2 1 0
notifuse/server/pkg/logger/logger.go:33.42,35.2 1 0
notifuse/server/pkg/logger/logger.go:37.42,39.2 1 0
notifuse/server/pkg/logger/logger.go:41.43,43.2 1 0
notifuse/server/pkg/logger/logger.go:45.43,47.2 1 0
notifuse/server/pkg/logger/logger.go:49.73,53.2 1 0
notifuse/server/config/config.go:54.30,56.2 1 0
notifuse/server/config/config.go:59.57,74.24 11 0
notifuse/server/config/config.go:74.24,79.17 4 0
notifuse/server/config/config.go:79.17,81.4 1 0
notifuse/server/config/config.go:83.3,86.42 3 0
notifuse/server/config/config.go:86.42,89.57 2 0
notifuse/server/config/config.go:89.57,91.5 1 0
notifuse/server/config/config.go:96.2,104.28 5 0
notifuse/server/config/config.go:104.28,106.3 1 0
notifuse/server/config/config.go:107.2,107.27 1 0
notifuse/server/config/config.go:107.27,109.3 1 0
notifuse/server/config/config.go:112.2,113.16 2 0
notifuse/server/config/config.go:113.16,115.3 1 0
notifuse/server/config/config.go:117.2,118.16 2 0
notifuse/server/config/config.go:118.16,120.3 1 0
notifuse/server/config/config.go:122.2,148.20 2 0
notifuse/server/config/config.go:152.39,154.2 1 0
notifuse/server/internal/database/init.go:15.61,17.48 1 1
notifuse/server/internal/database/init.go:17.48,18.43 1 1
notifuse/server/internal/database/init.go:18.43,20.4 1 1
notifuse/server/internal/database/init.go:24.2,24.21 1 1
notifuse/server/internal/database/init.go:24.21,28.17 3 1
notifuse/server/internal/database/init.go:28.17,30.4 1 1
notifuse/server/internal/database/init.go:32.3,32.14 1 1
notifuse/server/internal/database/init.go:32.14,53.18 4 1
notifuse/server/internal/database/init.go:53.18,55.5 1 1
notifuse/server/internal/database/init.go:59.2,59.12 1 1
notifuse/server/internal/database/init.go:63.38,65.51 1 1
notifuse/server/internal/database/init.go:65.51,67.43 2 1
notifuse/server/internal/database/init.go:67.43,69.4 1 1
notifuse/server/internal/database/init.go:71.2,71.12 1 1
notifuse/server/internal/database/utils.go:12.54,20.2 1 1
notifuse/server/internal/database/utils.go:23.77,34.2 3 1
notifuse/server/internal/database/utils.go:37.90,40.16 3 0
notifuse/server/internal/database/utils.go:40.16,42.3 1 0
notifuse/server/internal/database/utils.go:45.2,45.34 1 0
notifuse/server/internal/database/utils.go:45.34,48.3 2 0
notifuse/server/internal/database/utils.go:51.2,54.16 3 0
notifuse/server/internal/domain/timezones.go:432.44,433.31 1 1
notifuse/server/internal/domain/timezones.go:433.31,434.21 1 1
notifuse/server/internal/domain/timezones.go:434.21,436.4 1 1
notifuse/server/internal/domain/timezones.go:438.2,438.14 1 1
notifuse/server/internal/domain/user.go:58.42,60.2 1 1
notifuse/server/internal/domain/user.go:67.45,69.2 1 1
notifuse/server/internal/domain/workspace.go:29.38,31.79 1 1
notifuse/server/internal/domain/workspace.go:31.79,33.3 1 1
notifuse/server/internal/domain/workspace.go:36.2,36.57 1 1
notifuse/server/internal/domain/workspace.go:36.57,38.3 1 1
notifuse/server/internal/domain/workspace.go:41.2,41.67 1 1
notifuse/server/internal/domain/workspace.go:41.67,43.3 1 0
notifuse/server/internal/domain/workspace.go:45.2,45.12 1 1
notifuse/server/internal/domain/workspace.go:60.24,68.16 2 1
notifuse/server/internal/domain/workspace.go:68.16,70.3 1 1
notifuse/server/internal/domain/workspace.go:72.2,79.66 2 1
notifuse/server/internal/domain/workspace.go:79.66,81.3 1 1
notifuse/server/internal/domain/workspace.go:83.2,83.15 1 1
notifuse/server/internal/domain/workspace.go:96.43,97.58 1 1
notifuse/server/internal/domain/workspace.go:97.58,99.3 1 1
notifuse/server/internal/domain/workspace.go:100.2,100.12 1 1
notifuse/server/internal/domain/workspace.go:128.42,130.2 1 1
notifuse/server/config/config.go:54.30,56.2 1 0
notifuse/server/config/config.go:59.57,74.24 11 0
notifuse/server/config/config.go:74.24,79.17 4 0
notifuse/server/config/config.go:79.17,81.4 1 0
notifuse/server/config/config.go:83.3,86.42 3 0
notifuse/server/config/config.go:86.42,89.57 2 0
notifuse/server/config/config.go:89.57,91.5 1 0
notifuse/server/config/config.go:96.2,104.28 5 0
notifuse/server/config/config.go:104.28,106.3 1 0
notifuse/server/config/config.go:107.2,107.27 1 0
notifuse/server/config/config.go:107.27,109.3 1 0
notifuse/server/config/config.go:112.2,113.16 2 0
notifuse/server/config/config.go:113.16,115.3 1 0
notifuse/server/config/config.go:117.2,118.16 2 0
notifuse/server/config/config.go:118.16,120.3 1 0
notifuse/server/config/config.go:122.2,148.20 2 0
notifuse/server/config/config.go:152.39,154.2 1 1
notifuse/server/internal/http/favicon_handler.go:23.42,25.2 1 1
notifuse/server/internal/http/favicon_handler.go:27.80,28.33 1 1
notifuse/server/internal/http/favicon_handler.go:28.33,31.3 2 1
notifuse/server/internal/http/favicon_handler.go:33.2,34.61 2 1
notifuse/server/internal/http/favicon_handler.go:34.61,37.3 2 1
notifuse/server/internal/http/favicon_handler.go:39.2,39.19 1 1
notifuse/server/internal/http/favicon_handler.go:39.19,42.3 2 1
notifuse/server/internal/http/favicon_handler.go:45.2,46.16 2 1
notifuse/server/internal/http/favicon_handler.go:46.16,49.3 2 1
notifuse/server/internal/http/favicon_handler.go:52.2,53.16 2 0
notifuse/server/internal/http/favicon_handler.go:53.16,56.3 2 0
notifuse/server/internal/http/favicon_handler.go:57.2,61.16 3 0
notifuse/server/internal/http/favicon_handler.go:61.16,64.3 2 0
notifuse/server/internal/http/favicon_handler.go:67.2,67.64 1 0
notifuse/server/internal/http/favicon_handler.go:67.64,70.3 2 0
notifuse/server/internal/http/favicon_handler.go:73.2,73.62 1 0
notifuse/server/internal/http/favicon_handler.go:73.62,76.3 2 0
notifuse/server/internal/http/favicon_handler.go:79.2,79.68 1 0
notifuse/server/internal/http/favicon_handler.go:79.68,82.3 2 0
notifuse/server/internal/http/favicon_handler.go:85.2,85.58 1 0
notifuse/server/internal/http/favicon_handler.go:85.58,88.3 2 0
notifuse/server/internal/http/favicon_handler.go:90.2,90.56 1 0
notifuse/server/internal/http/favicon_handler.go:93.73,95.82 2 1
notifuse/server/internal/http/favicon_handler.go:95.82,96.45 1 1
notifuse/server/internal/http/favicon_handler.go:96.45,97.65 1 1
notifuse/server/internal/http/favicon_handler.go:97.65,100.5 2 1
notifuse/server/internal/http/favicon_handler.go:103.2,103.16 1 1
notifuse/server/internal/http/favicon_handler.go:106.71,108.74 2 1
notifuse/server/internal/http/favicon_handler.go:108.74,109.45 1 1
notifuse/server/internal/http/favicon_handler.go:109.45,111.18 2 1
notifuse/server/internal/http/favicon_handler.go:111.18,113.5 1 0
notifuse/server/internal/http/favicon_handler.go:115.4,116.18 2 1
notifuse/server/internal/http/favicon_handler.go:116.18,118.5 1 0
notifuse/server/internal/http/favicon_handler.go:119.4,128.71 3 1
notifuse/server/internal/http/favicon_handler.go:128.71,130.5 1 1
notifuse/server/internal/http/favicon_handler.go:132.4,132.31 1 1
notifuse/server/internal/http/favicon_handler.go:132.31,135.45 2 1
notifuse/server/internal/http/favicon_handler.go:135.45,136.40 1 1
notifuse/server/internal/http/favicon_handler.go:136.40,138.7 1 1
notifuse/server/internal/http/favicon_handler.go:141.5,141.77 1 1
notifuse/server/internal/http/favicon_handler.go:141.77,143.6 1 1
notifuse/server/internal/http/favicon_handler.go:147.2,147.16 1 1
notifuse/server/internal/http/favicon_handler.go:150.77,152.97 2 1
notifuse/server/internal/http/favicon_handler.go:152.97,153.45 1 1
notifuse/server/internal/http/favicon_handler.go:153.45,154.65 1 1
notifuse/server/internal/http/favicon_handler.go:154.65,157.5 2 1
notifuse/server/internal/http/favicon_handler.go:160.2,160.16 1 1
notifuse/server/internal/http/favicon_handler.go:163.49,166.52 3 1
notifuse/server/internal/http/favicon_handler.go:166.52,168.3 1 1
notifuse/server/internal/http/favicon_handler.go:169.2,169.11 1 1
notifuse/server/internal/http/favicon_handler.go:172.64,173.79 1 1
notifuse/server/internal/http/favicon_handler.go:173.79,175.3 1 1
notifuse/server/internal/http/favicon_handler.go:176.2,177.34 2 1
notifuse/server/internal/http/root_handler.go:10.36,12.2 1 1
notifuse/server/internal/http/root_handler.go:14.70,19.2 2 1
notifuse/server/internal/http/root_handler.go:21.58,23.2 1 1
notifuse/server/internal/http/user_handler.go:24.180,31.2 1 1
notifuse/server/internal/http/user_handler.go:33.70,35.63 2 1
notifuse/server/internal/http/user_handler.go:35.63,38.3 2 1
